year,frequency
1928,"	1"
1933,"	1"
1938,"	1"
1940,"	1"
1941,"	1"
1948,"	1"
1949,"	1"
1950,"	6"
1951,"	7"
1952,"	10"
1953,"	7"
1954,"	8"
1955,"	7"
1956,"	6"
1957,"	7"
1958,"	4"
1959,"	4"
1960,"	5"
1961,"	11"
1962,"	15"
1963,"	13"
1964,"	20"
1965,"	32"
1966,"	28"
1967,"	41"
1968,"	33"
1969,"	33"
1970,"	40"
1971,"	50"
1972,"	48"
1973,"	61"
1974,"	6"
1975,"	11"
1976,"	7"
1977,"	90"
1978,"	124"
1979,"	114"
1980,"	90"
1981,"	98"
1982,"	110"
1983,"	107"
1984,"	106"
1985,"	118"
1986,"	115"
1987,"	88"
1988,"	7"
1989,"	92"
1990,"	30"
1991,"	109"
1992,"	88"
1993,"	86"
1994,"	71"
1995,"	81"
1996,"	67"
1997,"	91"
1998,"	66"
1999,"	65"
2000,"	85"
2001,"	122"
2002,"	110"
2003,"	77"
2004,"	74"
2005,"	74"
2006,"	83"
2007,"	70"
2008,"	55"
2009,"	92"
2010,"	100"
2011,"	104"
2012,"	127"
2013,"	158"
2014,"	151"
2015,"	141"
2016,"	118"
2017,"	133"
2018,"	54"
